Rk,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
1,Samoa,Western Pacific,4092,2062.354,1470,740.875,427,9,4.536,7,3.528,2
1,Cook Islands,Western Pacific,3584,20405.375,1058,6023.685,147,0,0,0,0,0
1,Kiribati,Western Pacific,3069,2569.297,2,1.674,0,13,10.883,0,0,0
1,Anguilla,Americas,2731,18204.239,14,93.321,14,9,59.992,0,0,0
1,Saint Pierre and Miquelon,Americas,2418,41725.626,182,3140.638,0,1,17.256,0,0,0
1,Sint Eustatius,Americas,886,28225.55,35,1115.005,35,5,159.286,0,0,0
1,Other,Other,764,,0,,0,13,,0,,0
1,Saba,Americas,495,25607.863,126,6518.365,126,0,0,0,0,0
1,Wallis and Futuna,Western Pacific,454,4036.991,1,8.892,1,7,62.244,0,0,0
1,Montserrat,Americas,175,3500.7,0,0,0,2,40.008,0,0,0
1,Falkland Islands (Malvinas),Americas,131,3761.125,6,172.265,0,0,0,0,0,0
1,Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
1,Niue,Western Pacific,7,432.633,0,0,0,0,0,0,0,0
1,Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
1,Nauru,Western Pacific,3,27.691,1,9.23,0,0,0,0,0,0
1,Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
1,Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
1,Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
1,Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
1,Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
1,Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
1,Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
