Sri Lanka,LKA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.585,18.713
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.94798814,42.44313194
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.71804102,51.24364991
Lesotho,LSO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.585,29.028
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.28017944,64.09964116
Lithuania,LTU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.855,68.046
Luxembourg,LUX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.223,91.453
Latvia,LVA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.222,68.315
"Macao SAR, China",MAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
St. Martin (French part),MAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,,
Morocco,MAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.994,63.532
Monaco,MCO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Moldova,MDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.726,42.849
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.861,38.534
Maldives,MDV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.238,40.669
Middle East & North Africa,MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.67874465,65.97413654
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.444,80.731
Marshall Islands,MHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.417,77.794
Middle income,MIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.69830149,53.26624259
North Macedonia,MKD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.208,58.482
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.136,43.909
Malta,MLT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.678,94.744
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.852,31.141
Middle East & North Africa (excluding high income),MNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.90339987,62.20982851
Montenegro,MNE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.15,67.488
Mongolia,MNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.543,68.657
Northern Mariana Islands,MNP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.708,91.798
Mozambique,MOZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.528,37.074
Mauritania,MRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.507,55.327
Mauritius,MUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.766,40.76
Malawi,MWI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.174,17.427
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.607,77.16
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.36170798,82.55306655
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.042,52.033
New Caledonia,NCL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.104,71.518
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.517,16.626
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.157,51.958
Nicaragua,NIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.76,59.012
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.876,92.236
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.616,82.974
Nepal,NPL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.153,20.576
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.615,86.699
OECD members,OED,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.80646573,81.01559005
Oman,OMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.443,86.276
Other small states,OSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.5972392,63.06240836
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.907,37.165
Panama,PAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.059,68.414
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.099,78.297
